,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
16541,132,2,132,2,1060,2,1059,2633,3,2859,25,1,24,1
16542,2,2,1,1,11,11,1,107,368,2,10,9,1,1
16543,47,45,5,3,230,209,28,5109,4710,897,11,9,2,1
16544,5,3,3,1,29,21,9,271,182,162,5,2,3,1
16545,57,10,54,7,195,18,184,5279,51,6571,14,7,7,1
16546,3,2,2,1,25,2,24,46,10,37,5,1,4,1
16547,105,93,13,1,9776,9762,15,15242,15477,22,16,12,4,1
16548,4,1,4,1,18,3,16,66,4,102,13,1,12,1
16549,30,5,11,1,78,27,13,398,166,32,3,1,2,1
16550,45,45,1,1,652,652,1,4283,5806,24,38,37,1,1
16551,17,11,10,4,47,38,13,67,44,19,5,3,2,1
16552,42,30,14,2,262,132,131,1572,1290,844,34,25,9,1
16553,1,1,1,1,35,35,1,68,60,8,2,1,1,1
16554,26,21,6,1,260,193,69,1247,1210,1539,61,26,35,1
16555,31,2,31,2,150,4,146,652,20,888,64,3,61,1
16556,24,20,13,9,206,160,59,1926,3917,1499,22,16,6,1
16557,153,2,153,2,937,11,928,5620,77,18063,193,10,183,1
16558,3,3,2,2,14,8,8,56,22,32,2,1,1,1
16559,1,1,1,1,13,2,12,22,3,18,9,2,7,1
16560,65,2,64,1,1573,23,1551,10871,2055,24707,244,1,243,1
16561,34,17,1,1,396,197,2,1782,1043,3,53,52,1,1
16562,3,1,3,1,4,1,4,9,2,6,5,1,4,1
16563,10,10,1,1,12,12,1,270,226,43,2,1,1,1
16564,30,3,5,3,1116,169,31,3690,600,902,22,7,15,1
16565,1,1,1,1,1,1,1,5,2,2,2,1,1,1
16566,94,94,1,1,426,426,1,1737,1935,8,55,54,1,1
16567,102,5,17,5,324,12,44,16770,39,2754,8,2,6,1
16568,4,1,4,1,8,1,8,19,2,22,6,1,5,1
16569,3,1,3,1,5,2,4,53,26,78,2,1,1,1
16570,27,8,21,2,121,23,99,329,62,266,5,4,1,1
16571,1,1,1,1,10,10,1,16,13,2,2,1,1,1
16572,170,167,13,10,717,699,31,9330,10240,573,76,54,23,1
16573,134,134,2,2,1338,1333,6,4898,8778,27,263,257,6,1
16574,6,2,6,2,23,14,11,192,134,333,16,3,13,1
16575,45,24,22,1,45,24,22,1235,1046,1436,20,6,14,1
16576,3,2,2,1,6,4,3,11,5,5,4,2,2,1
16577,1,1,1,1,1,1,1,5,2,2,2,1,1,1
16578,1,1,1,1,1,1,1,7,3,3,2,1,1,1
16579,87,48,52,13,301,110,204,1491,449,1112,34,17,17,1
16580,28,2,27,1,176,40,137,787,138,785,29,6,23,1
16581,11,1,11,1,13,1,13,92,2,124,4,1,3,1
16582,5,4,2,1,6,5,2,65,91,4,4,3,1,1
16583,28,21,9,2,148,125,24,17789,18043,139,21,8,13,1
16584,45,13,34,2,106,25,82,392,133,295,16,7,9,1
16585,3,1,3,1,3,1,3,19,5,13,2,1,1,1
16586,39,37,4,2,156,151,6,1173,1260,84,19,17,2,1
16587,46,15,37,7,533,449,77,10237,9614,4098,20,7,16,1
16588,15,1,15,1,54,1,54,1418,4,5253,54,1,53,1
16589,61,2,60,1,424,2,423,19659,24,22312,14,1,13,1
16590,38,1,38,1,278,1,278,449,16,445,10,1,9,1
16591,7,1,6,1,120,9,115,1263,129,2366,17,2,15,1
16592,33,33,1,1,134,89,46,913,437,851,26,23,3,1
16593,10,8,10,8,1117,645,500,3651,2318,1488,23,5,18,1
16594,42,2,42,2,108,4,104,284,39,284,25,2,23,1
16595,14,14,1,1,35,35,1,41,37,3,4,3,1,1
16596,23,12,14,3,128,38,91,1306,894,657,6,1,5,1
16597,35,3,33,1,729,4,727,4280,76,4202,2,1,1,1
16598,3107,2776,382,51,35888,33216,2390,403089,349228,64307,193,132,61,1
16599,16,16,3,3,167,149,20,20965,32008,199,39,34,5,1
16600,16,6,12,2,166,67,102,7270,737,6826,11,6,5,1
16601,7,7,1,1,47,45,3,391,1371,5,22,20,2,1
16602,7,6,2,1,20,18,3,266,309,4,7,5,2,1
16603,54,1,54,1,1032,1,1032,7380,9,15257,43,1,42,1
16604,5,5,1,1,19,17,3,113,105,7,9,7,2,1
16605,31,14,22,5,115,43,75,640,315,444,31,6,25,1
16606,9,7,4,2,27,16,12,324,626,105,10,7,3,1
16607,14,1,14,1,91,1,91,1004,46,1767,45,1,44,1
16608,2,2,2,2,6,6,2,241,474,234,6,4,2,1
16609,7,6,2,1,12,7,6,330,297,33,3,1,2,1
16610,27,17,15,5,127,65,65,607,919,421,22,8,14,1
16611,43,9,37,4,92,18,74,453,64,132,14,1,13,1
