,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
13587,0,0,0,6,1,5,1,1,1,5,0,5,6,1,5,0,4,1,4,1,8,1,8,19,2,22,6,1,5,1
13588,1,1,0,16,15,1,1,0,0,16,16,0,17,16,1,0,87,83,9,5,399,386,19,2610,4231,140,84,83,1,1
13589,1,0,1,3,1,2,1,1,1,3,0,3,4,1,3,0,4,3,2,1,17,14,4,44,37,6,6,3,3,1
13590,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,136,28,109,1,309,185,125,1713,3098,174,12,10,2,1
13591,1,1,0,4,4,1,2,1,1,3,3,0,5,5,1,1,44,42,3,1,605,595,11,23939,185229,1176,46,41,5,1
13592,2,0,2,6,2,5,0,0,0,8,2,6,8,2,7,1,74,21,60,7,433,75,363,2701,1924,1923,76,22,54,1
13593,1,0,1,120,1,120,1,1,1,120,0,120,121,1,121,1,496,1,496,1,8065,1,8065,99727,9,1570831,1625,1,1624,1
13594,1,1,0,24,23,1,2,1,1,23,23,0,25,24,1,0,66,65,3,2,356,354,4,6734,11100,35,113,112,1,1
13595,1,1,1,1,0,1,1,1,1,1,0,1,2,1,2,1,6,3,4,1,16,8,10,49,30,17,11,6,5,1
13596,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,1,1,1,1,3,1,3,7,2,4,2,1,1,1
13597,4,4,0,17,16,1,1,0,0,20,20,0,21,20,1,0,41,41,3,3,204,199,7,1037,2108,20,57,56,1,1
13598,2,1,2,7,0,7,1,1,1,8,0,8,9,1,9,1,81,9,79,7,376,29,353,1316,53,1259,36,4,32,1
13599,1,1,0,32,31,1,1,0,0,32,32,0,33,32,1,0,1609,1603,7,1,5664,5630,36,49952,118038,199,282,278,4,1
13600,2,0,2,8,4,4,2,1,1,8,3,5,10,4,6,0,7,3,5,1,22,8,15,273,206,161,16,9,7,1
13601,4,1,4,6,0,6,1,1,1,9,0,9,10,1,10,1,194,69,143,18,595,174,424,2114,581,2982,137,8,129,1
13602,1,0,1,3,1,2,1,1,1,3,0,3,4,1,3,0,19,16,4,1,151,142,10,320,412,37,9,5,4,1
13603,3,2,2,22,2,21,0,0,0,25,4,21,25,4,23,2,180,88,109,18,4644,2832,1948,37362,84457,10726,186,71,115,1
13604,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,1,1,1,1,2,2,1,6,3,2,2,1,1,1
13605,1,0,1,23,1,22,1,1,1,23,0,23,24,1,23,0,2,1,2,1,265,1,265,863,18,1253,42,1,41,1
