,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
36936,36937,32,11408,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
37407,37408,32,70252,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,2,2,0,1,1,0
23415,23416,17,47466,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,6,6,0,1,1,0
37561,37562,32,70676,0,2,2,0,0,0,0,2,0,2,0,0,0,2,2,0,0,37,37,0,0,55,55,0,95,443,0,24,24,0
45806,45807,46,14539,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
32597,32598,23,101559,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,2,2,0,2,2,0
9389,9390,9,93295,0,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,2,1,1,0,62,3,59,237,8,466,2,1,1
7078,7079,9,31307,0,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,2,0,1,1,0
58568,58569,68,68573,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,2,0,2,0,60,0,60,267,0,328,10,0,10
9573,9574,9,97268,0,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,2,1,1,0,2,1,1,2,2,2,2,1,1
49440,49441,55,29364,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,2,2,0,1,1,0
38719,38720,32,96297,0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,3,2,1,5,2,3,2,1,1
6778,6779,9,25131,0,0,0,0,2,0,2,2,2,2,0,0,0,1,0,1,0,1,0,1,0,21,0,21,64,0,128,1,0,1
44266,44267,45,16702,0,0,0,0,3,3,1,2,1,1,1,1,0,3,3,1,1,23,23,1,1,1090,1089,1,3867,3868,1,6,5,1
6747,6748,9,24847,0,0,0,0,42,40,2,0,0,0,42,40,2,21,20,1,0,60,60,1,1,406,405,1,3878,32634,2,140,139,1
2558,2559,7,10016,0,2,2,0,4,4,0,6,0,6,0,0,0,6,6,0,0,6,6,0,0,11,11,0,97,317,0,13,13,0
76077,76078,101,132837,0,0,0,0,4,3,1,1,0,0,3,3,0,4,3,1,0,10,9,1,0,29,24,5,67,60,19,11,10,1
35744,35745,30,3169,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,8,8,0,18,18,0,2,2,0
57659,57660,63,92940,0,6,6,1,45,45,0,1,0,0,50,50,0,51,51,1,1,65,62,3,0,400,397,3,5675,13570,1657,186,183,3
76041,76042,101,132690,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
