,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
11589,11590,12,74094,1,1,0,1,2,1,1,1,1,1,2,0,2,3,1,2,0,41,23,27,9,1296,1220,82,10541,10111,817,16,4,12
11199,11200,12,23136,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,24,22,4,2,112,99,14,526,493,52,8,7,1
15010,15011,13,58855,1,2,1,1,2,0,2,2,1,1,2,0,2,4,1,3,0,46,6,21,4,657,160,171,3821,426,4096,22,2,20
24048,24049,17,79088,1,0,0,0,3,1,2,1,1,1,2,0,2,3,1,2,0,9,3,8,2,44,19,26,419,35,383,6,3,3
73026,73027,94,111146,1,2,0,2,33,1,32,1,1,1,34,0,34,35,1,34,0,4,1,4,1,39,1,39,60,3,61,36,1,35
11106,11107,12,20932,1,1,1,0,1,1,1,1,0,0,1,1,0,2,2,1,1,165,163,5,3,193,182,12,378,296,106,9,8,1
35437,35438,29,90977,1,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,23,22,3,2,52,50,3,331,252,121,26,25,1
76639,76640,101,142765,1,4,4,0,16,15,1,1,0,0,19,19,0,20,19,1,0,69,69,1,1,190,187,4,2508,4433,14,81,80,1
8980,8981,9,89791,1,0,0,0,8,2,6,0,0,0,8,2,6,4,1,3,0,21,20,5,4,570,546,28,1075,1452,774,9,5,4
24035,24036,17,78859,1,5,0,5,26,1,26,1,1,1,30,0,30,31,1,31,1,396,1,396,1,3674,25,3650,68808,204,76033,129,4,125
11000,11001,12,16846,1,1,1,1,3,0,3,1,1,1,3,0,3,4,1,4,1,12,4,10,2,25,4,22,59,9,65,10,1,9
11431,11432,12,68713,1,1,1,0,13,12,1,1,0,0,13,13,0,14,13,1,0,161,133,31,3,811,760,53,19218,4631,21108,115,101,14
49323,49324,55,28177,1,2,0,2,6,1,5,1,1,1,7,0,7,8,1,7,0,46,7,44,5,194,19,180,1572,79,2037,76,2,74
12701,12702,13,26872,1,2,2,0,7,7,1,2,1,1,7,7,0,9,9,1,1,19,19,6,6,191,148,44,7659,7292,439,51,49,2
34407,34408,25,72199,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,6,4,3,1,25,6,20,99,16,82,2,1,1
24175,24176,17,94860,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,1,1
19185,19186,16,7602,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,36,8,32,4,122,33,90,502,164,652,32,10,22
26442,26443,19,61109,1,1,0,1,7,6,1,0,0,0,8,6,2,8,6,2,0,71,14,61,4,192,52,141,3488,2208,9965,84,28,56
71306,71307,90,110757,1,2,1,2,2,0,2,1,1,1,3,0,3,4,1,4,1,83,14,71,2,521,318,222,2623,1277,2183,32,2,30
26677,26678,19,65780,1,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,1169,21,1151,3,1321,153,1170,238132,1149,237333,11,3,8
62990,62991,76,123505,1,0,0,0,3,1,2,1,1,1,2,0,2,3,1,2,0,1,1,1,1,1,1,1,6,3,6,3,1,2
25747,25748,19,42678,1,2,1,1,6,6,2,0,0,0,8,7,1,8,7,3,2,38,23,21,6,146,50,98,720,340,700,48,23,26
11133,11134,12,22061,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,9,8,3,2,28,24,5,117,106,10,3,2,1
12705,12706,13,26947,1,2,1,2,9,0,9,1,1,0,10,0,10,11,1,11,1,32,14,21,3,242,17,227,8933,1432,7619,75,1,74
