,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
596,953,952,1,0,953,952,1,31597,31595,2,2,1,1,0
597,5,5,1,1,76,75,1,110,122,1,64,63,1,0
598,3,1,1,0,4,2,1,26,2,1,2,1,1,0
599,2,0,2,0,5,0,5,28,0,28,2,0,2,0
600,3,3,0,0,4,4,0,8,8,0,1,1,0,0
601,2,2,0,0,2,2,0,114,114,0,2,2,0,0
602,1,1,0,0,2,2,0,8,8,0,1,1,0,0
603,1,1,0,0,1,1,0,3,3,0,1,1,0,0
604,45,41,4,0,79,74,5,261,287,18,23,20,3,0
605,22,21,1,0,39,38,1,96,93,3,16,15,1,0
606,27,0,27,0,62,0,62,73,0,81,5,0,5,0
607,27,23,6,2,48,34,14,231,183,63,5,4,1,0
608,8,4,4,0,12,7,5,57,51,29,5,3,2,0
609,2,1,2,1,4,1,3,17,13,4,4,1,3,0
610,3,2,1,0,8,7,1,9,7,2,2,1,1,0
611,4,4,0,0,11,11,0,19,25,0,14,14,0,0
612,1,0,1,0,1,0,1,1,0,1,1,0,1,0
613,1,1,0,0,1,1,0,5,5,0,1,1,0,0
614,120,0,120,0,166,0,166,279,0,279,13,0,13,0
615,1,1,0,0,1,1,0,2,2,0,1,1,0,0
616,2,2,0,0,16,16,0,43,43,0,2,2,0,0
617,6,0,6,0,31,0,31,158,0,182,10,0,10,0
618,1,1,0,0,2,2,0,2,2,0,1,1,0,0
619,2,1,0,0,2,1,0,2,1,0,1,1,0,0
620,2,1,1,0,16,2,14,23,9,18,4,3,1,0
621,2,0,2,0,3,0,3,3,0,3,1,0,1,0
622,11,9,2,0,85,76,9,9097,9088,9,5,3,2,0
623,2,1,1,0,4,1,3,4,1,3,4,1,3,0
624,5,5,0,0,18,18,0,853,853,0,1,1,0,0
625,76,1,38,1,460,1,229,1560,1,950,69,1,68,0
626,2,1,1,0,16,15,1,47,108,2,4,3,1,0
627,4,3,1,0,5,4,1,90,237,9,5,4,1,0
628,8,7,1,0,10,9,1,15,14,1,3,2,1,0
629,1,1,0,0,1,1,0,1,1,0,1,1,0,0
630,2,2,0,0,6,6,0,40,40,0,1,1,0,0
631,18,14,5,1,65,36,29,216,492,116,26,24,2,0
632,6,3,3,0,11,5,6,27,20,7,3,2,1,0
633,1,1,0,0,1,1,0,3,3,0,1,1,0,0
634,5,2,3,0,9,3,6,66,56,10,5,1,4,0
635,25,25,0,0,103,103,0,486,730,0,36,36,0,0
636,5,5,0,0,14,14,0,49,67,0,5,5,0,0
637,3,2,1,0,13,7,6,14,7,7,5,2,3,0
638,1,1,0,0,1,1,0,1,1,0,1,1,0,0
639,1,1,0,0,15,15,0,47,47,0,1,1,0,0
640,1,1,0,0,1,1,0,57,57,0,1,1,0,0
641,1,1,0,0,1,1,0,1,1,0,1,1,0,0
642,1,0,1,0,1,0,1,5,0,10,2,0,2,0
643,4,1,3,0,8,1,7,49,18,31,4,1,3,0
644,6,6,0,0,17,17,0,312,432,0,3,3,0,0
645,14,14,0,0,49,49,0,123,202,0,21,21,0,0
646,4,4,0,0,7,7,0,19,19,0,2,2,0,0
647,1,1,0,0,1,1,0,13,13,0,1,1,0,0
648,1,1,0,0,1,1,0,1,1,0,1,1,0,0
649,2,2,0,0,3,3,0,67,67,0,1,1,0,0
650,1,1,0,0,1,1,0,2,2,0,1,1,0,0
651,6,4,2,0,14,7,7,674,774,108,8,4,4,0
652,1,1,0,0,1,1,0,1,1,0,1,1,0,0
653,4,4,0,0,5,5,0,10,14,0,3,3,0,0
654,35,34,1,0,242,233,9,2386,3834,64,52,50,2,0
655,1,1,0,0,2,2,0,9,9,0,2,2,0,0
656,1,1,0,0,1,1,0,1,1,0,1,1,0,0
657,1,0,1,0,2,0,2,4,0,4,2,0,2,0
658,1,1,0,0,1,1,0,1,2,0,1,1,0,0
659,1,1,1,1,2,1,1,2,1,1,2,1,1,0
660,5,5,0,0,16,16,0,138,138,0,1,1,0,0
661,14,13,1,0,24,22,2,233,371,9,13,12,1,0
662,15,15,0,0,57,57,0,248,248,0,1,1,0,0
663,1,1,0,0,1,1,0,1,1,0,1,1,0,0
664,49,49,1,1,254,253,1,7456,181185,1,105,104,1,0
665,1,1,0,0,2,2,0,2,2,0,1,1,0,0
666,1,1,0,0,1,1,0,3,3,0,1,1,0,0
667,6,5,1,0,26,20,6,29,46,12,5,4,1,0
668,1,1,0,0,1,1,0,1,1,0,1,1,0,0
669,7,5,2,0,16,12,4,69,47,22,3,2,1,0
670,3,2,1,0,12,10,2,48,66,2,8,6,2,0
671,1,1,0,0,1,1,0,14,14,0,1,1,0,0
672,18,18,1,1,66,65,1,246,279,3,17,16,1,0
673,2,2,0,0,8,8,0,8,8,0,8,8,0,0
674,1,1,0,0,14,14,0,16,16,0,1,1,0,0
675,3,3,0,0,3,3,0,3,3,0,1,1,0,0
676,1,1,0,0,1,1,0,16,32,0,2,2,0,0
677,16,16,0,0,70,70,0,632,1903,0,37,37,0,0
678,1,1,0,0,1,1,0,1,1,0,1,1,0,0
679,24,16,9,1,189,116,73,1201,3077,204,27,19,8,0
680,47,0,47,0,137,0,137,2839,0,3266,47,0,47,0
681,1,0,1,0,1,0,1,3,0,6,2,0,2,0
682,3,3,0,0,4,4,0,4,4,0,2,2,0,0
683,4,4,0,0,4,4,0,15,15,0,1,1,0,0
684,5,4,1,0,14,9,5,14,9,5,8,3,5,0
685,4,4,0,0,4,4,0,37,74,0,2,2,0,0
686,13,1,12,0,51,1,50,262,1,393,10,1,9,0
687,2,2,0,0,7,7,0,7,7,0,1,1,0,0
688,11,11,0,0,25,25,0,28,28,0,4,4,0,0
689,3,2,1,0,3,2,1,4,3,1,2,1,1,0
690,18,18,0,0,48,48,0,668,5415,0,28,28,0,0
691,2,2,0,0,5,5,0,17,17,0,1,1,0,0
692,28,5,23,0,36,11,25,137,112,25,2,1,1,0
693,4,4,1,1,5,4,1,10,42,2,7,6,1,0
694,6,3,3,0,11,5,6,15,5,10,8,4,4,0
695,1,1,0,0,1,1,0,3,3,0,1,1,0,0
696,2,2,0,0,2,2,0,19,19,0,2,2,0,0
697,1,1,1,1,2,1,1,2,1,1,2,1,1,0
698,134,134,2,2,520,515,5,5119,6085,6,55,54,1,0
699,1,1,0,0,1,1,0,2,2,0,1,1,0,0
700,32,32,0,0,143,143,0,1617,1650,0,26,26,0,0
701,54,53,1,0,90,86,4,416,410,6,2,1,1,0
702,24,0,24,0,242,0,242,926,0,1858,21,0,21,0
703,7,0,7,0,15,0,15,162,0,162,5,0,5,0
704,1,1,0,0,1,1,0,6,6,0,1,1,0,0
705,151,151,1,1,6153,6151,2,60796,95416,2,209,208,1,0
706,4,0,4,0,5,0,5,12,0,12,3,0,3,0
707,5,4,1,0,21,20,1,178,591,5,10,9,1,0
708,5,3,2,0,9,4,5,30,4,26,3,2,1,0
709,9,5,4,0,16,7,9,48,16,70,9,4,5,0
710,7,0,7,0,20,0,20,64,0,64,1,0,1,0
711,5,0,5,0,22,0,22,39,0,116,5,0,5,0
712,4,4,0,0,4,4,0,4,8,0,1,1,0,0
713,37,34,3,1,42,38,3,509,675,215,10,9,1,0
714,3,3,0,0,13,13,0,39,39,0,4,4,0,0
715,4,2,2,0,14,10,4,17,11,6,3,2,1,0
716,2,2,0,0,2,2,0,2,2,0,2,2,0,0
717,3,2,1,0,3,2,1,7,2,5,3,2,1,0
718,68,66,2,0,202,198,4,2695,9067,109,88,87,1,0
719,1,1,0,0,9,9,0,27,27,0,1,1,0,0
720,5,3,2,0,5,3,2,45,40,5,2,1,1,0
721,2,1,1,0,4,1,3,16,2,30,3,1,2,0
722,1,0,1,0,1,0,1,2,0,2,1,0,1,0
