,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
210,1,0,1,1,0,1,2,2,2,0,0,0,2,0,2,0,0
211,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
212,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
213,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
214,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
215,1,0,1,3,0,3,4,4,4,0,0,0,4,0,4,0,0
216,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
217,2,1,2,3,3,0,0,0,0,5,4,1,5,4,2,1,0
218,4,4,0,7,7,1,1,0,0,10,10,0,11,11,1,1,0
219,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
220,0,0,0,11,1,10,1,1,1,10,0,10,11,1,10,0,0
221,2,1,1,1,1,0,2,1,1,1,1,0,3,2,1,0,0
222,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
223,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
224,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
225,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
226,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
227,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
228,0,0,0,4,3,1,2,1,1,2,2,0,4,3,1,0,0
229,3,3,0,12,11,1,1,0,0,14,14,0,15,14,1,0,0
230,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
231,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
232,1,1,1,3,0,3,1,1,1,3,0,3,4,1,4,1,0
233,0,0,0,10,8,2,0,0,0,10,8,2,5,4,1,0,0
234,2,0,2,1,0,1,3,3,2,0,0,0,3,0,3,0,0
235,0,0,0,2,2,1,1,0,0,1,1,0,2,2,1,1,0
236,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
237,2,0,2,0,0,0,2,2,1,0,0,0,2,0,2,0,0
238,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
239,2,0,2,3,0,3,5,5,5,0,0,0,5,0,5,0,0
240,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
241,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
242,1,1,0,4,3,1,1,0,0,4,4,0,5,4,1,0,0
243,1,1,0,1,1,1,1,0,0,1,1,0,2,2,1,1,0
244,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
245,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
246,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
247,1,1,0,3,3,0,4,0,4,0,0,0,4,4,0,0,0
248,2,2,1,0,0,0,1,0,0,1,1,0,2,2,1,1,0
249,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
250,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
251,0,0,0,6,5,1,1,0,0,5,5,0,6,5,1,0,0
252,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
253,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
254,1,1,0,1,1,0,2,0,2,0,0,0,2,2,0,0,0
255,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
256,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
257,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
258,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
259,2,2,0,4,3,1,1,0,0,5,5,0,6,5,1,0,0
260,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
