,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
2612,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,0
2613,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2614,1,1,1,2,0,2,2,1,1,1,0,1,3,1,3,1,0
2615,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2616,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2617,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2618,4,3,1,36,35,1,0,0,0,40,38,2,40,38,2,0,0
2619,4,4,0,8,7,1,2,1,1,10,10,0,12,11,1,0,0
2620,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2621,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
2622,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2623,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
2624,1,1,0,3,0,3,1,1,1,3,0,3,4,1,3,0,0
2625,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2626,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2627,3,0,3,13,0,13,16,16,16,0,0,0,16,0,16,0,0
2628,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2629,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2630,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
2631,2,2,0,25,25,0,27,0,27,0,0,0,27,27,0,0,0
2632,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2633,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2634,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2635,2,1,2,8,0,8,1,1,1,9,0,9,10,1,10,1,0
2636,2,0,2,0,0,0,2,2,1,0,0,0,2,0,2,0,0
2637,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
2638,1,0,1,2,1,1,1,1,1,2,0,2,3,1,2,0,0
2639,0,0,0,24,24,0,24,0,24,0,0,0,12,12,0,0,0
2640,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2641,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2642,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,0
2643,4,0,4,14,0,14,18,18,18,0,0,0,18,0,18,0,0
2644,2,2,2,0,0,0,0,0,0,2,2,0,1,1,1,1,0
2645,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
2646,7,7,0,10,9,1,1,0,0,16,16,0,17,16,1,0,0
2647,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2648,3,3,0,1,1,0,4,0,4,0,0,0,4,4,0,0,0
2649,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2650,2,2,0,7,7,0,9,0,9,0,0,0,9,9,0,0,0
2651,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2652,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2653,0,0,0,10,9,1,1,0,0,9,9,0,10,9,1,0,0
2654,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,0
2655,1,0,1,4,0,4,5,5,5,0,0,0,5,0,5,0,0
2656,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2657,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
2658,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2659,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2660,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2661,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2662,0,0,0,4,4,0,4,0,4,0,0,0,4,4,0,0,0
2663,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
2664,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2665,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2666,1,1,1,4,1,3,1,0,0,4,1,3,5,2,4,1,0
2667,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2668,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
2669,0,0,0,5,1,4,1,1,1,4,0,4,5,1,4,0,0
2670,1,1,0,120,119,1,1,0,0,120,120,0,121,120,1,0,0
2671,2,2,0,0,0,0,2,1,2,0,0,0,2,2,0,0,0
2672,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2673,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2674,1,0,1,1,0,1,2,2,2,0,0,0,2,0,2,0,0
2675,4,0,4,6,0,6,10,10,10,0,0,0,10,0,10,0,0
2676,3,0,3,5,0,5,8,8,8,0,0,0,8,0,8,0,0
2677,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,0
2678,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
2679,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2680,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2681,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
2682,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2683,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2684,0,0,0,76,76,2,0,0,0,76,76,0,38,38,1,1,0
2685,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
2686,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2687,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
2688,3,2,1,1,1,0,1,0,0,3,3,0,4,3,1,0,0
2689,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2690,2,1,1,1,0,1,2,1,1,1,0,1,3,1,2,0,0
2691,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2692,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,0
2693,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2694,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2695,2,2,0,19,19,1,1,0,0,20,20,0,21,21,1,1,0
2696,0,0,0,4,3,1,1,0,0,3,3,0,4,3,1,0,0
2697,3,0,3,8,1,7,1,1,1,10,0,10,11,1,10,0,0
2698,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2699,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2700,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2701,2,2,0,8,7,1,2,1,1,8,8,0,10,9,1,0,0
2702,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
2703,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2704,2,2,0,5,4,1,1,0,0,6,6,0,7,6,1,0,0
2705,2,0,2,5,0,5,7,7,6,0,0,0,7,0,7,0,0
2706,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2707,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2708,2,0,2,2,0,2,4,4,3,0,0,0,4,0,4,0,0
2709,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2710,2,0,2,2,0,2,4,4,4,0,0,0,4,0,4,0,0
2711,2,2,0,1,0,1,2,1,1,1,1,0,3,2,1,0,0
2712,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2713,1,1,1,2,2,0,1,1,0,2,2,0,3,3,1,1,0
2714,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2715,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2716,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2717,1,1,0,2,2,0,3,0,3,0,0,0,3,3,0,0,0
2718,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2719,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2720,2,1,2,0,0,0,2,1,1,0,0,0,2,1,2,1,0
2721,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2722,1,0,1,4,0,4,5,5,5,0,0,0,5,0,5,0,0
2723,1,1,1,1,1,0,1,0,0,1,1,0,2,2,1,1,0
2724,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2725,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
