,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
2185,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,7,7,0,1,1,0,0
2186,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,2,1,1,18,4,14,2,1,1,0
2187,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,3,0,3,0,5,0,5,11,0,11,1,0,1,0
2188,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,4,3,2,1,15,11,4,104,48,56,5,3,2,0
2189,1,1,0,1,1,0,2,0,2,0,0,0,2,2,0,0,2,2,0,0,2,2,0,50,99,0,2,2,0,0
2190,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,4,0,4,0,6,0,6,16,0,16,2,0,2,0
2191,1,1,0,7,6,1,2,1,1,6,6,0,8,7,1,0,132,130,3,1,146,143,3,21927,25039,4,20,19,1,0
2192,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,8,8,0,22,22,0,1,1,0,0
2193,3,0,3,14,0,14,17,17,17,0,0,0,17,0,17,0,45,0,45,0,153,0,153,1187,0,2031,79,0,79,0
2194,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,2,1,1,2,1,1,2,1,1,0
2195,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,3,0,5,0,5,23,0,23,1,0,1,0
2196,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,3,3,0,8,8,0,1,1,0,0
2197,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,9,0,9,0,18,0,18,343,0,582,8,0,8,0
2198,2,2,0,7,6,1,2,1,1,7,7,0,9,8,1,0,26,25,1,0,59,58,1,331,330,1,15,14,1,0
2199,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,19,19,0,156,156,0,1,1,0,0
2200,1,1,0,4,3,1,1,0,0,4,4,0,5,4,1,0,18,17,1,0,83,81,2,120,123,2,15,14,1,0
2201,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,6,4,2,0,22,18,4,115,110,5,4,3,1,0
2202,1,0,1,1,0,1,2,2,2,0,0,0,2,0,2,0,2,0,2,0,4,0,4,4,0,4,2,0,2,0
2203,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2204,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,104,0,104,1,0,1,0
2205,0,0,0,4,4,0,4,1,4,0,0,0,4,4,0,0,4,4,0,0,22,22,0,27,35,0,25,25,0,0
2206,1,1,1,1,1,0,1,1,0,1,1,0,2,2,1,1,9,7,3,1,22,16,6,1234,1402,380,5,4,1,0
2207,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,0,4,0,4,32,0,47,2,0,2,0
2208,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,10,10,0,18,18,0,1,1,0,0
2209,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,3,3,0,1,1,0,0
2210,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,20,0,20,0,53,0,53,147,0,147,1,0,1,0
2211,2,0,2,8,0,8,10,10,10,0,0,0,10,0,10,0,48,0,48,0,160,0,160,671,0,675,31,0,31,0
2212,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,1,1,1,1,2,1,1,2,1,1,2,1,1,0
2213,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,5,5,0,39,39,0,1,1,0,0
2214,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,8,8,0,0,27,27,0,100,100,0,1,1,0,0
2215,3,3,1,6,6,0,1,0,0,8,8,0,9,9,1,1,51,50,1,0,141,138,3,671,794,14,26,24,2,0
2216,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,3,2,1,0,4,2,2,17,13,4,2,1,1,0
2217,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,4,3,2,1,8,5,3,68,58,10,2,1,1,0
2218,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,3,0,8,0,8,8,0,8,4,0,4,0
2219,2,2,0,6,5,1,1,0,0,7,7,0,8,7,1,0,26,20,6,0,32,24,8,262,377,15,15,14,1,0
2220,0,0,0,9,7,2,1,0,0,8,7,1,9,7,2,0,8,7,1,0,12,11,1,471,108,2667,15,8,7,0
2221,1,1,1,1,1,0,1,1,0,1,1,0,2,2,1,1,16,16,1,1,28,27,1,345,575,2,9,8,1,0
2222,3,0,3,7,1,6,1,1,1,9,0,9,10,1,9,0,48,4,44,0,220,57,163,2612,421,2501,46,24,22,0
2223,1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,10,8,2,0,57,54,3,213,208,5,4,2,2,0
2224,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,8,8,0,36,36,0,1,1,0,0
2225,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,3,0,3,1,0,1,0
2226,3,3,1,2,2,0,2,1,1,3,3,0,5,5,1,1,66,64,2,0,110,108,2,2357,2376,4,14,13,1,0
2227,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,5,5,0,5,5,0,1,1,0,0
2228,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,2,1,1,0,3,1,2,7,1,6,2,1,1,0
2229,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,23,22,1,0,122,119,3,159,149,10,2,1,1,0
2230,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,38,38,1,1,58,57,1,89,88,1,12,11,1,0
2231,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,7,2,5,0,16,2,14,97,2,95,2,1,1,0
2232,2,2,0,3,3,0,5,1,5,0,0,0,5,5,0,0,12,12,0,0,39,39,0,279,558,0,16,16,0,0
2233,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0,0
2234,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,7,1,6,0,14,2,12,65,7,58,3,1,2,0
2235,2,1,1,2,2,0,2,1,1,2,2,0,4,3,1,0,11,8,3,0,37,12,25,195,76,119,4,3,1,0
2236,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,7,7,0,1,1,0,0
2237,2,2,0,0,0,0,2,1,2,0,0,0,2,2,0,0,16,16,0,0,19,19,0,708,708,0,4,4,0,0
2238,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,3,0,3,4,0,4,1,0,1,0
2239,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,6,6,0,20,20,0,1,1,0,0
2240,0,0,0,3,3,0,3,1,3,0,0,0,3,3,0,0,36,36,0,0,217,217,0,1034,1100,0,26,26,0,0
2241,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2242,3,3,0,14,13,1,1,0,0,16,16,0,17,16,1,0,100,100,2,2,694,692,2,9208,10424,28,57,56,1,0
2243,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,10,3,9,2,18,4,14,625,8,1138,10,1,9,0
2244,3,0,3,2,1,1,2,1,1,3,0,3,5,1,4,0,20,4,16,0,46,4,42,1011,26,1536,12,2,10,0
2245,0,0,0,2,2,0,2,0,2,0,0,0,2,2,0,0,4,4,0,0,8,8,0,13,13,0,4,4,0,0
2246,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,10,0,10,1,0,1,0
2247,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,18,6,12,0,31,15,16,123,45,78,5,4,1,0
2248,1,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,12,9,3,0,79,41,38,642,519,222,12,8,4,0
2249,1,1,0,12,11,1,1,0,0,12,12,0,13,12,1,0,72,71,1,0,117,116,1,2770,1135,1659,17,16,1,0
2250,2,0,2,17,0,17,19,19,19,0,0,0,19,0,19,0,156,0,156,0,737,0,737,6992,0,21919,394,0,394,0
2251,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,2,0,2,0,3,0,3,85,0,85,1,0,1,0
2252,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,7,7,0,19,19,0,1,1,0,0
